ing_id,ing_name,ing_weight,ing_meas,ing_price
ING001,"Espresso beans",1000,grams,12.00
ING002,"Whole Milk",1000,ml,1.20
ING003,Cheddar,500,grams,7.45
ING004,Mozzarella,500,grams,5.00
ING005,"Whipped cream",300,ml,1.35
ING006,"Vanilla syrup",1000,ml,14.52
ING007,"Barista chocolate syrup",1000,ml,8.49
ING008,"Barista white chocolate syrup",1000,ml,8.49
ING009,"Barista caramel sauce",1000,ml,8.49
ING010,Sugar,1000,grams,1.50
ING011,"Panini Bread",4,units,1.35
ING012,"Cocoa powder",1000,grams,22.00
ING013,Chocolate,1000,grams,10.50
ING014,Lemons,5,units,1.50
ING015,Ham,1000,grams,27.50
ING016,Salami,1000,grams,15.49
ING017,"Black Tea",1000,grams,16.00
ING018,"Vanilla extract",60,ml,9.99
